,# 央视
屯溪融媒,http://114.97.214.101:8888/udp/238.1.79.45:4472
海豚生活,http://114.97.214.101:8888/udp/238.1.79.50:4512
海豚少儿,http://114.97.214.101:8888/udp/238.1.79.32:4368
海豚健康,http://114.97.214.101:8888/udp/238.1.79.33:4376
海豚影视,http://114.97.214.101:8888/udp/238.1.79.34:4384
合肥新闻,http://114.97.214.101:8888/udp/238.1.78.111:6760
合肥新闻,## 山东
山东新闻,http://182.32.160.11:9999/udp/239.21.1.140:5002
山东齐鲁,http://182.32.160.11:9999/udp/239.21.1.134:5002
山东体育,http://182.32.160.11:9999/udp/239.21.1.141:5002
山东文旅,http://182.32.160.11:9999/udp/239.21.1.176:5002
山东农科,http://182.32.160.11:9999/udp/239.21.1.183:5002
山东少儿,http://182.32.160.11:9999/udp/239.21.1.208:5002
山东生活,http://182.32.160.11:9999/udp/239.21.1.175:5002
山东综艺,http://182.32.160.11:9999/udp/239.21.1.177:5002
山东教育卫视,http://182.32.160.11:9999/udp/239.21.1.169:5002
济南新闻综合,http://182.32.160.11:9999/udp/239.21.1.94:5002
济南教育,http://182.32.160.11:9999/udp/239.21.1.133:5002
济南教育,## 山西
黄河卫视,http://60.223.72.2:8002/rtp/226.0.2.235:9792
山西经济与科技,http://60.223.72.2:8002/rtp/226.0.2.236:9800
山西影视,http://60.223.72.2:8002/rtp/226.0.2.237:9808
山西社会与法治,http://60.223.72.2:8002/rtp/226.0.2.238:9816
山西文体生活,http://60.223.72.2:8002/rtp/226.0.2.16:8040
山西少儿,## 江西
江西新闻,/udp/239.252.220.100:5140
江西都市,/udp/239.252.220.238:5140
江西生活,/udp/239.252.219.173:5140
江西影视,/udp/239.252.220.242:5140
江西公共,/udp/239.252.220.102:5140
江西少儿,/udp/239.252.219.113:5140
江西移动,/udp/239.252.220.241:5140
江西教育,/udp/239.252.219.115:5140
江西教育,## 湖北
湖北公共新闻,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380726d0ee3b/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNKgjpyhD%2FJd6SZjkcHAKXbsjwotAY57dianC4%2ByY7artm7J7F4GFO6G99D0bYMJRxI
湖北综合,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638072216f7da/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNLx3R3LdIBdA5q61lut1LwZcw4SC2tJubc%2Bq5t%2F61jvWCtjrJL0x%2BHncPgdmcbBW9I
湖北经视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807203543e3/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNLVCQ3pDe4nBySab%2B3xPL123aTSCRugzF2ABe36IIJw2evZbYdWUo0ffUw53bflDgU
湖北教育,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638072a6cbbf6/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNKTFQuOKNd5i0HMa3ydMWIQ6kJ2fBJGJ77BLTXK72CqUYQsX3ZguYt0954s9hfZTfc
湖北垄上,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638072463c333/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNL%2Be1h4FfA5QqwJ7IPOz3p2qIS7djSxm17Htd%2FckZkm%2FVqsKHEJFJt26ju9iibzMEo
湖北生活,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638072c62e405/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNKJPodw5BcDirSOw7egztI5bUvJjqPzSNAhrA37GrbRBIAjGQpzP0QmgsmuHnQyd2c
湖北影视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380728abccd2/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNKU1xiiKGJYFBZK9RpEkaggogtHJZW6nJQqLppbEYE%2BqJ9kJW%2FMvKldfS2dCii9VSI
武汉新闻综合,http://27.18.19.201:9100/rtp/239.69.1.145:10506
武汉电视剧,http://27.18.19.201:9100/rtp/239.69.1.146:10512
武汉科技生活,http://27.18.19.201:9100/rtp/239.69.1.251:11148
武汉经济,http://27.18.19.201:9100/rtp/239.69.1.35:9850
武汉文体,http://27.18.19.201:9100/rtp/239.69.1.147:10518
武汉外语,http://27.18.19.201:9100/rtp/239.69.1.36:9856
武汉教育,http://27.18.19.201:9100/rtp/239.69.1.60:9994
武汉教育,## 湖南
湖南经视,http://175.9.142.49:8888/udp/239.76.252.116:9000
湖南爱晚,http://175.9.142.49:8888/udp/239.76.252.123:9000
湖南娱乐,http://175.9.142.49:8888/udp/239.76.252.121:9000
湖南都市,http://175.9.142.49:8888/udp/239.76.252.117:9000
湖南电影,http://175.9.142.49:8888/udp/239.76.252.119:9000
湖南电视剧,http://175.9.142.49:8888/udp/239.76.252.118:9000
湖南教育,http://175.9.142.49:8888/udp/239.76.252.233:9000
湖南国际,http://175.9.142.49:8888/udp/239.76.252.124:9000
金鹰纪实,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001230/index.m3u8
金鹰卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001460/index.m3u8
快乐垂钓,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001235/index.m3u8
茶频道 ,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001234/index.m3u8
长沙新闻综合,http://175.9.142.49:8888/udp/239.76.253.121:9000
长沙女性,http://175.9.142.49:8888/udp/239.76.252.23:9000
长沙影视,http://175.9.142.49:8888/udp/239.76.252.204:9000
长沙政法,http://175.9.142.49:8888/udp/239.76.253.122:9000
长沙政法,## 广西
广西新闻,http://180.140.127.231:8000/udp/239.81.0.248:4056
广西都市,http://180.140.127.231:8000/udp/239.81.0.247:4056
广西影视,http://180.140.127.231:8000/udp/239.81.0.250:4056
广西综艺旅游,http://180.140.127.231:8000/udp/239.81.0.214:4056
南宁新闻综合,http://180.140.127.231:8000/udp/239.81.0.241:4056
南宁文旅生活,http://180.140.127.231:8000/udp/239.81.0.139:4056
南宁公共,http://180.140.127.231:8000/udp/239.81.0.141:4056
南宁影视娱乐,http://180.140.127.231:8000/udp/239.81.0.140:4056
南宁影视娱乐,## 福建
海峡卫视,http://121.206.28.220:9999/udp/239.61.2.151:8894
福建新闻,http://121.206.28.220:9999/udp/239.61.4.4:1025
福建综合,http://121.206.28.220:9999/udp/239.61.5.167:1025
福建经济,http://121.206.28.220:9999/udp/239.61.4.7:1025
福建旅游,http://121.206.28.220:9999/udp/239.61.4.6:1025
福建文体,http://121.206.28.220:9999/udp/239.61.5.44:1025
福建电视剧,http://121.206.28.220:9999/udp/239.61.4.5:1025
福建少儿,http://121.206.28.220:9999/udp/239.61.4.9:1025
福建乡村振兴公共,http://121.206.28.220:9999/udp/239.61.4.3:1025
福建教育,http://121.206.28.220:9999/udp/239.61.5.60:1025
厦门1,http://121.206.28.220:9999/udp/239.61.5.99:1025
厦门2,http://121.206.28.220:9999/udp/239.61.4.140:1025
福州 FZTV-1,http://121.206.28.220:9999/udp/239.61.5.97:1025
福州 FZTV-1,## 海南
海南新闻,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000321/index.m3u8?IAS
海南文旅,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000322/index.m3u8?fmmv6
海南公共,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000382/index.m3u8?fmmv6
海南自贸,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000320/index.m3u8?fmmv6
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?fmmv6
海口1,http://153.0.158.159:16080/live/hktv1.m3u8
海口2,http://153.0.158.159:16080/live/hktv2.m3u8
海口3,http://153.0.158.159:16080/live/hktv3.m3u8
海口3,## 贵州
贵州-2 公共,/rtp/238.255.2.2:5999
贵州-3 影视文艺,/rtp/238.255.2.3:5999
贵州-4 大众生活,/rtp/238.255.2.4:5999
贵州-5 生态·乡村,/rtp/238.255.2.5:5999
贵州-6 科教健康,/rtp/238.255.2.6:5999
贵州-7 经济,/rtp/238.255.2.9:5999
贵州-7 经济,## 陕西
陕西新闻资讯,http://117.32.84.132:8008/udp/239.111.205.28:5140
陕西都市青春,http://222.90.97.254:9901/tsfile/live/1012_1.m3u8
陕西生活,http://117.32.84.132:8008/udp/239.111.205.98:5140
陕西影视,http://222.90.97.254:9901/tsfile/live/1016_1.m3u8
陕西公共,http://222.90.97.254:9901/tsfile/live/1015_1.m3u8
陕西体育休闲,http://117.32.84.132:8008/udp/239.111.205.36:5140
陕西西部电影,http://222.90.97.254:9901/tsfile/live/1014_1.m3u8
陕西西部电影,## 河北
河北经济生活,http://106.113.147.149:2222/rtp/239.254.200.18:6000
河北公共,http://106.113.147.149:2222/rtp/239.254.200.22:6000
河北少儿科教,http://106.113.147.149:2222/rtp/239.254.200.21:6000
河北都市,http://106.113.147.149:2222/rtp/239.254.200.19:6000
河北影视剧,http://106.113.147.149:2222/rtp/239.254.200.20:6000
河北农民,http://106.113.147.149:2222/rtp/239.254.200.23:6000
睛彩河北,http://106.113.147.149:2222/rtp/239.254.200.27:6000
石家庄新闻综合,http://106.113.147.149:2222/rtp/239.254.200.157:6000
石家庄娱乐,http://106.113.147.149:2222/rtp/239.254.200.29:6000
石家庄生活,http://106.113.147.149:2222/rtp/239.254.200.30:6000
石家庄都市,http://106.113.147.149:2222/rtp/239.254.200.31:6000
石家庄都市,## 河南
河南新闻,http://219.156.48.95:9999/udp/225.1.4.56:108
河南公共,http://219.156.48.95:9999/udp/225.1.4.58:1087
河南都市,http://219.156.48.95:9999/udp/225.1.4.52:1081
河南法治,http://219.156.48.95:9999/udp/225.1.4.54:1083
河南民生,http://219.156.48.95:9999/udp/225.1.4.53:1082
河南电视剧,http://219.156.48.95:9999/udp/225.1.4.55:1084
河南乡村,http://219.156.48.95:9999/udp/225.1.4.120:1149
河南国际,http://219.156.48.95:9999/udp/225.1.4.102:1131
河南4K试验,http://219.156.48.95:9999/udp/225.1.4.254:1300
梨园频道,http://219.156.48.95:9999/udp/225.1.4.99:1128
文物宝库,http://219.156.48.95:9999/udp/225.1.4.100:1129
中华功夫,http://219.156.48.95:9999/udp/225.1.4.101:1130
郑州新闻,http://219.156.48.95:9999/udp/225.1.4.140:1176
郑州商都,http://219.156.48.95:9999/udp/225.1.4.141:1177
郑州文旅,http://219.156.48.95:9999/udp/225.1.4.142:1178
郑州影视,http://219.156.48.95:9999/udp/225.1.4.146:1182
郑州妇女,http://219.156.48.95:9999/udp/225.1.4.147:1183
郑州都市,http://219.156.48.95:9999/udp/225.1.4.149:1185
郑州教育,http://219.156.48.95:9999/udp/225.1.4.191:1241
郑州教育,## 辽宁
辽宁公共,http://119.113.236.167:60000/rtp/232.0.0.156:9322
辽宁经济,http://119.113.236.167:60000/rtp/232.0.0.155:9320
辽宁都市,http://119.113.236.167:60000/rtp/232.0.0.42:8856
辽宁影视剧,http://119.113.236.167:60000/rtp/232.0.0.97:8534
辽宁北方,http://119.113.236.167:60000/rtp/232.0.0.211:9240
辽宁生活,http://119.113.236.167:60000/rtp/232.0.0.212:9242
辽宁教育·青少,http://119.113.236.167:60000/rtp/232.0.0.230:9356
辽宁体育,http://119.113.236.167:60000/rtp/232.0.0.66:8820
辽宁移动电视,http://119.113.236.167:60000/rtp/232.0.0.167:9338
辽宁移动电视,## 吉林
吉林公共·新闻,http://hls1.avap.jilintv.cn/zqvk7vpj/channel/44dcb20ec810463cb517f1814c1b3ce9/1.m3u8
吉林都市,http://hls1.avap.jilintv.cn/zqvk7vpj/channel/7e8474e6daea44ccaa5aa2300191439e/1.m3u8
吉林生活,http://hls1.avap.jilintv.cn/zqvk7vpj/channel/0a76740c72b74fabae611845aa21e06a/1.m3u8
吉林影视,http://hls1.avap.jilintv.cn/zqvk7vpj/channel/906341e6f19b4c4bacdc89941eb85d12/1.m3u8
东北戏曲,## 甘肃
甘肃都市,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226248/1.m3u8
甘肃经济,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226252/1.m3u8
甘肃文化影视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226287/1.m3u8
甘肃少儿,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226289/1.m3u8
甘肃公共应急,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226250/1.m3u8
兰州新闻综合,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226242/1.m3u8
兰州生活经济,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226285/1.m3u8
兰州文旅,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226597/1.m3u8
兰州文旅,## 宁夏
宁夏公共,http://www.kkk8861.tk:8888/udp/239.121.4.97:855
宁夏经济,http://www.kkk8861.tk:8888/udp/239.121.4.91:8520
宁夏少儿,http://www.kkk8861.tk:8888/udp/239.121.4.63:8352
宁夏文旅,http://www.kkk8861.tk:8888/udp/239.121.4.93:8532
宁夏教育,http://www.kkk8861.tk:8888/udp/239.121.4.200:9184
银川公共,http://www.kkk8861.tk:8888/udp/239.121.4.21:8100
银川生活,http://www.kkk8861.tk:8888/udp/239.121.4.106:8610
银川文体,http://www.kkk8861.tk:8888/udp/239.121.4.22:8106
银川文体,## 新疆
银川文体,## 青海
银川文体,## 黑龙江
黑龙江新闻法治,http://[2409:8087:1a01:df::4036]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/1.m3u8
黑龙江文体,http://[2409:8087:1a01:df::4025]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
黑龙江农业·科教,http://[2409:8087:1a01:df::4025]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
黑龙江都市,http://[2409:8087:1a01:df::4025]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/1.m3u8
黑龙江少儿,http://[2409:8087:1a01:df::4035]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/1.m3u8
黑龙江影视,http://[2409:8087:1a01:df::4035]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/1.m3u8
黑龙江影视,## 内蒙古
内蒙古新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古蒙古语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
内蒙古蒙古语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
内蒙古蒙古语文化,# 香港
凤凰卫视中文台,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰卫视资讯台,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰卫视香港台,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
TVB无线新闻台,http://gwtv.cnv8.tv:8097/inews_twn/playlist.m3u8?tid=MD8D9734527497345274&ct=19249&tsum=88c5d57f9fdce89810d61e1001910a8
TVB直播台,https://edge6a.v2h-cdn.com/liveshow/liveshow.stream/chunklist.m3u8
HOY国际财经台,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY资讯台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
HOY资讯台,# 台湾
中天新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中天新闻2,https://tv.iill.top/youtube/WPfPjbOLNfE
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
东森新闻,http://gwtv.cnv8.tv:8097/ettvnews/playlist.m3u8?tid=MC4C3328955833289558&ct=19249&tsum=d68431432600bbf503d95f629f3acc11
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
TVBS,http://gwtv.cnv8.tv:8097/tvbs/playlist.m3u8?tid=MEFE3093330530933305&ct=19249&tsum=ce6b5e9293b3618104ad53084745a223
TVBS新闻,http://gwtv.cnv8.tv:8097/tvbs_n/playlist.m3u8?tid=MA4A2233260122332601&ct=19249&tsum=513a9dcb42fa8b98e1792d513dd3e2ee
TVBS News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
台视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
民视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
mnews·镜新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
寰宇新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
年代新闻,http://gwtv.cnv8.tv:8097/niandainews_twn/playlist.m3u8?tid=MBCB9184423891844238&ct=19249&tsum=ac0331d98099429b19c53fe6d20972ec
Taiwan+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
Taiwan+,# 国际
ALJAZEERA (en) ,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
ALJAZEERA (ar),http://live-hls-web-aja.getaj.net/AJA/02.m3u8
Bloomberg Originals,https://bloomberg-quicktake-1-be.samsung.wurl.tv/playlist.m3u8
Bloomberg TV US Live Event,https://bloomberg.com/media-manifest/streams/us-event.m3u8
Bloomberg TV US Politics Live Event,https://bloomberg.com/media-manifest/streams/politics.m3u8
Bloomberg TV,https://i.mjh.nz/SamsungTVPlus/INBA5100021WP.m3u8
Bloomberg TV+,https://bloomberg-bloombergtv-3-nl.samsung.wurl.tv/playlist.m3u8
CNN,https://i.mjh.nz/SamsungTVPlus/ATBD800001VA.m3u8
CNN FAST,https://i.mjh.nz/SamsungTVPlus/ATBD190000101.m3u8
CNN Headlines  ,https://i.mjh.nz/SamsungTVPlus/USBB32000103E.m3u8
CBS News,https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master.m3u8
CBS News Baltimore ,https://i.mjh.nz/PlutoTV/60f75919718aed0007250d7a-alt.m3u8
CBS News Bay Area,https://i.mjh.nz/PlutoTV/5eb1afb21486df0007abc57c-alt.m3u8
CBS News Boston,https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8
CBS News Chicago,https://cbsn-chi.cbsnstream.cbsnews.com/out/v1/b2fc0d5715d54908adf07f97d2616646/master.m3u8
CBS News Colorado,https://cbsn-den.cbsnstream.cbsnews.com/out/v1/2e49baf2906244ecb01b07d9885fbe7a/master.m3u8
CBS News Detroit ,https://cbsn-det.cbsnstream.cbsnews.com/out/v1/169f5c001bc74fa7a179b19c20fea069/master.m3u8
CBS News Los Angeles,https://cbsn-la.cbsnstream.cbsnews.com/out/v1/57b6c4534a164accb6b1872b501e0028/master.m3u8
CBS News Miami  ,https://cbsn-mia.cbsnstream.cbsnews.com/out/v1/ac174b7938264d24ae27e56f6584bca0/master.m3u8
CBS News Minnesota,https://i.mjh.nz/PlutoTV/5eb1b0bf2240d8000732a09c-alt.m3u8
CBS News New York,https://www.cbsnews.com/common/video/cbsn-ny-prod.m3u8
CBS News Philadelphia,https://i.mjh.nz/PlutoTV/5eb1b05ea168cc000767ba67-alt.m3u8
CBS News Pittsburgh,https://cbsn-pit.cbsnstream.cbsnews.com/out/v1/6966dabf8150405ab26f854e3cd6a2b8/master.m3u8
CBS News Sacramento ,https://i.mjh.nz/PlutoTV/60cb6df2b2ad610008cd5bea-alt.m3u8
CBS News Spotlight,https://i.mjh.nz/PlutoTV/60fb321ee99fac0008c9ab8a-alt.m3u8
CBS News Texas,https://cbsn-dal.cbsnstream.cbsnews.com/out/v1/ffa98bbf7d2b4c038c229bd4d9122708/master.m3u8
CBC News Explore,https://i.mjh.nz/SamsungTVPlus/CABC2300009KD.m3u8
ABC7 Bay Area,https://i.mjh.nz/SamsungTVPlus/USBC4400010RH.m3u8
ABC News Live,https://i.mjh.nz/SamsungTVPlus/USBC39000171G.m3u8
ABC News Australia,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
Africanews,https://rakuten-africanews-1-pt.samsung.wurl.tv/manifest/playlist.m3u8
CNA 亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
DW NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
Euronews Live,https://i.mjh.nz/SamsungTVPlus/GBAJ4900020VP.m3u8
FOX News,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
France 24 En,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV38.m3u8
FRANCE 24 fast En,https://i.mjh.nz/SamsungTVPlus/CHBD1100003CW.m3u8
GBN,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV33.m3u8
NBC News NOW,https://i.mjh.nz/SamsungTVPlus/ESBC400003YM.m3u8
NBC Bay Area News,https://i.mjh.nz/SamsungTVPlus/USBC3200005A0.m3u8
News 12 New York,https://lnc-news12.tubi.video/index.m3u8
Newsmax2,https://i.mjh.nz/SamsungTVPlus/USBA300028QU.m3u8
NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
NHK World,# 数字
求索动物,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索纪录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索生活,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
睛彩竞技,http://iptv.8t.cx:8180/udp/239.3.1.125:8001
睛彩篮球,http://iptv.8t.cx:8180/udp/239.3.1.126:8001
睛彩羽毛球,http://iptv.8t.cx:8180/udp/239.3.1.127:8001
iHOT爱科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000160630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000160630&livemode=1&stbId=3
iHOT爱体育,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000290630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000290630&livemode=1&stbId=3
iHOT爱赛车,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000240630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000240630&livemode=1&stbId=3
超级体育,http://[2409:8087:7000:20:1000::22]:6060/000000001000/1000000001000009601/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009601&livemode=1&stbId=3
精品体育,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw2797725038_-2054878207/ott.mobaibox.com/PLTV/3/224/3221227615/index.m3u8
精品纪录,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw2837435881_530071425/ott.mobaibox.com/PLTV/3/224/3221227547/index.m3u8
军事评论,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw3373254713_-1111569189/ott.mobaibox.com/PLTV/3/224/3221227544/index.m3u8
4K UHD,http://[2409:8087:2001:20:2800:0:df6e:eb11]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
4K修复,http://[2409:8087:2001:20:2800:0:df6e:eb14]/ott.mobaibox.com/PLTV/4/224/3221228141/index.m3u8
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
华数4K,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3
江苏移动8K测试,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
江苏移动8K测试,# 咪咕
咪咕综合体育,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226504/1.m3u8
咪咕精彩足球,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226506/1.m3u8
咪咕直播-1,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000005308/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=3
咪咕直播-2,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000005969/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=3
咪咕直播-3,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000007218/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=3
咪咕直播-4,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000008001/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=3
咪咕直播-5,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000008176/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=3
咪咕直播-6,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000008379/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=3
咪咕直播-7,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000010129/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=3
咪咕直播-8,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000010948/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=3
咪咕直播-9,http://zteres.sn.chinamobile.com:6060/000000001000/3000000001000026778/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000026778&livemode=1&stbId=3
